Time,ECG1_Filtered,is_r_peak,timestamp,prev_timestamp,rr_interval_ms
2025-05-22T17:04:03.492,2.04,true,2025-05-22T17:04:03.492+07:00,2025-05-22T17:04:02.877+07:00,615.0
2025-05-22T17:04:04.190,2.11,true,2025-05-22T17:04:04.190+07:00,2025-05-22T17:04:03.492+07:00,698.0
2025-05-22T17:04:04.970,2.0,true,2025-05-22T17:04:04.970+07:00,2025-05-22T17:04:04.190+07:00,780.0
2025-05-22T17:04:05.716,2.16,true,2025-05-22T17:04:05.716+07:00,2025-05-22T17:04:04.970+07:00,746.0
2025-05-22T17:04:06.838,1.93,true,2025-05-22T17:04:06.838+07:00,2025-05-22T17:04:05.716+07:00,1122.0
2025-05-22T17:04:07.685,2.05,true,2025-05-22T17:04:07.685+07:00,2025-05-22T17:04:06.838+07:00,847.0
2025-05-22T17:04:08.608,2.16,true,2025-05-22T17:04:08.608+07:00,2025-05-22T17:04:07.685+07:00,923.0
2025-05-22T17:04:09.407,1.88,true,2025-05-22T17:04:09.407+07:00,2025-05-22T17:04:08.608+07:00,799.0
2025-05-22T17:04:10.225,2.18,true,2025-05-22T17:04:10.225+07:00,2025-05-22T17:04:09.407+07:00,818.0
2025-05-22T17:04:11.407,2.23,true,2025-05-22T17:04:11.407+07:00,2025-05-22T17:04:10.225+07:00,1182.0
2025-05-22T17:04:12.371,1.83,true,2025-05-22T17:04:12.371+07:00,2025-05-22T17:04:11.407+07:00,964.0
2025-05-22T17:04:14.212,2.01,true,2025-05-22T17:04:14.212+07:00,2025-05-22T17:04:12.371+07:00,1841.0
2025-05-22T17:04:15.093,2.21,true,2025-05-22T17:04:15.093+07:00,2025-05-22T17:04:14.212+07:00,881.0
2025-05-22T17:04:15.393,2.21,true,2025-05-22T17:04:15.393+07:00,2025-05-22T17:04:15.093+07:00,300.0
2025-05-22T17:04:16.000,2.09,true,2025-05-22T17:04:16.000+07:00,2025-05-22T17:04:15.393+07:00,607.0
2025-05-22T17:04:16.952,1.99,true,2025-05-22T17:04:16.952+07:00,2025-05-22T17:04:16.000+07:00,952.0
2025-05-22T17:04:18.148,2.21,true,2025-05-22T17:04:18.148+07:00,2025-05-22T17:04:16.952+07:00,1196.0
2025-05-22T17:04:19.018,2.17,true,2025-05-22T17:04:19.018+07:00,2025-05-22T17:04:18.148+07:00,870.0
2025-05-22T17:04:19.951,2.18,true,2025-05-22T17:04:19.951+07:00,2025-05-22T17:04:19.018+07:00,933.0
2025-05-22T17:04:20.825,2.14,true,2025-05-22T17:04:20.825+07:00,2025-05-22T17:04:19.951+07:00,874.0
2025-05-22T17:04:21.792,2.06,true,2025-05-22T17:04:21.792+07:00,2025-05-22T17:04:20.825+07:00,967.0
2025-05-22T17:04:23.090,2.19,true,2025-05-22T17:04:23.090+07:00,2025-05-22T17:04:21.792+07:00,1298.0
2025-05-22T17:04:24.020,2.27,true,2025-05-22T17:04:24.020+07:00,2025-05-22T17:04:23.090+07:00,930.0
2025-05-22T17:04:24.957,2.05,true,2025-05-22T17:04:24.957+07:00,2025-05-22T17:04:24.020+07:00,937.0
2025-05-22T17:04:25.831,2.17,true,2025-05-22T17:04:25.831+07:00,2025-05-22T17:04:24.957+07:00,874.0
2025-05-22T17:04:26.720,2.22,true,2025-05-22T17:04:26.720+07:00,2025-05-22T17:04:25.831+07:00,889.0
2025-05-22T17:04:26.956,2.15,true,2025-05-22T17:04:26.956+07:00,2025-05-22T17:04:26.720+07:00,236.0
2025-05-22T17:04:27.789,1.84,true,2025-05-22T17:04:27.789+07:00,2025-05-22T17:04:26.956+07:00,833.0
2025-05-22T17:04:28.572,2.25,true,2025-05-22T17:04:28.572+07:00,2025-05-22T17:04:27.789+07:00,783.0
2025-05-22T17:04:29.408,1.89,true,2025-05-22T17:04:29.408+07:00,2025-05-22T17:04:28.572+07:00,836.0
2025-05-22T17:04:30.166,2.15,true,2025-05-22T17:04:30.166+07:00,2025-05-22T17:04:29.408+07:00,758.0
2025-05-22T17:04:30.946,2.23,true,2025-05-22T17:04:30.946+07:00,2025-05-22T17:04:30.166+07:00,780.0
2025-05-22T17:04:31.553,2.06,true,2025-05-22T17:04:31.553+07:00,2025-05-22T17:04:30.946+07:00,607.0
2025-05-22T17:04:32.348,2.34,true,2025-05-22T17:04:32.348+07:00,2025-05-22T17:04:31.553+07:00,795.0
2025-05-22T17:04:33.151,2.37,true,2025-05-22T17:04:33.151+07:00,2025-05-22T17:04:32.348+07:00,803.0
2025-05-22T17:04:33.897,2.06,true,2025-05-22T17:04:33.897+07:00,2025-05-22T17:04:33.151+07:00,746.0
2025-05-22T17:04:34.624,2.07,true,2025-05-22T17:04:34.624+07:00,2025-05-22T17:04:33.897+07:00,727.0
2025-05-22T17:04:35.348,2.1,true,2025-05-22T17:04:35.348+07:00,2025-05-22T17:04:34.624+07:00,724.0
2025-05-22T17:04:36.087,1.81,true,2025-05-22T17:04:36.087+07:00,2025-05-22T17:04:35.348+07:00,739.0
2025-05-22T17:04:36.222,2.43,true,2025-05-22T17:04:36.222+07:00,2025-05-22T17:04:36.087+07:00,135.0
